drug_key,drug,ae_score_x,total_prob,total_weighted_prob,n_ae,safety_drug,P_drug_gt_placebo,safety_score,efficacy_score,ae_score_y,safety_norm,efficacy_norm,ae_inverse_norm,composite_score,safety_used,efficacy_used,ae_used,ae_units,composite_used,avoid_rank_ae,avoid_rank_safety,avoid_rank_efficacy,avoid_rank_composite,delta_safety_vs_real,delta_efficacy_vs_real,delta_ae_vs_real
adapalene,Adapalene,0.816098199633414,1.8936709212139204,0.816098199633414,100,0.141426,0.520931,0.141426,0.520931,0.816098199633414,0.0933237183249761,0.4211325160537106,0.5540526903946376,0.3165930318304022,0.141426,0.520931,1.8936709212139204,unweighted_total_prob,0.3165930318304022,1589.0,28.0,700.0,332.0,-0.40716185899999996,0.0021911510000000023,-17.629481757786078
adefovir_dipivoxil,Adefovir_dipivoxil,1.188880508486179,2.940417590551073,1.188880508486179,100,0.189204,0.521892,0.189204,0.521892,1.188880508486179,0.1734491606433111,0.4772329246935232,0.3533312937508556,0.3309390928849049,0.189204,0.521892,2.940417590551073,unweighted_total_prob,0.3309390928849049,1264.0,163.0,959.0,466.0,-0.3593838589999999,0.003152150999999992,-16.582735088448928
ademetionine,Ademetionine,1.2924425952136498,3.2068338114768222,1.2924425952136498,100,0.263754,0.524739,0.263754,0.524739,1.2924425952136498,0.2984722198930051,0.6434325744308226,0.318120945029623,0.4403861067354557,0.263754,0.524739,3.2068338114768222,unweighted_total_prob,0.4403861067354557,1137.0,640.0,1482.0,1414.0,-0.28483385899999997,0.005999150999999925,-16.316318867523176
adenosine,Adenosine,1.0878794307121986,2.634818422608072,1.0878794307121986,100,0.154123,0.527361,0.154123,0.527361,1.0878794307121986,0.1146170487514464,0.7964973730297727,0.3941280880787483,0.4432713863282373,0.154123,0.527361,2.634818422608072,unweighted_total_prob,0.4432713863282373,1394.0,51.0,1607.0,1435.0,-0.39446485899999995,0.008621150999999938,-16.88833425639193
adenosine_phosphate,Adenosine_phosphate,1.8102319779805824,4.270975228399034,1.8102319779805824,100,0.322374,0.517705,0.322374,0.517705,1.8102319779805824,0.3967800902245552,0.2328079392877989,0.2025026264500956,0.2923357370949608,0.322374,0.517705,4.270975228399034,unweighted_total_prob,0.2923357370949608,684.0,1161.0,73.0,177.0,-0.22621385899999996,-0.0010348490000000599,-15.252177450600964
afatinib,Afatinib,2.212508028326554,6.0894453600048974,2.212508028326554,100,0.309249,0.524786,0.309249,0.524786,2.212508028326554,0.3747689882439752,0.6461762988908354,0.1500310523044226,0.4383843253148088,0.309249,0.524786,6.0894453600048974,unweighted_total_prob,0.4383843253148088,211.0,1033.0,1487.0,1403.0,-0.23933885899999996,0.006046150999999944,-13.4337073189951
agomelatine,Agomelatine,1.6878215899225304,4.329007977619763,1.6878215899225304,100,0.332314,0.523747,0.332314,0.523747,1.6878215899225304,0.4134498314578477,0.5855224751897254,0.2234329772711873,0.4442755181132667,0.332314,0.523747,4.329007977619763,unweighted_total_prob,0.4442755181132667,659.0,1237.0,1340.0,1448.0,-0.21627385899999996,0.005007150999999932,-15.194144701380235
albendazole,Albendazole,1.2971078224712964,2.994632656686003,1.2971078224712964,100,0.215904,0.51912,0.215904,0.51912,1.2971078224712964,0.2182260309580909,0.3154115586690049,0.3166671456922576,0.2767884649892899,0.215904,0.51912,2.994632656686003,unweighted_total_prob,0.2767884649892899,1233.0,298.0,242.0,103.0,-0.33268385899999997,0.00038015099999999524,-16.528520022313995
alclofenac,Alclofenac,2.4563967004884018,6.047972014173861,2.4563967004884018,100,0.34161,0.519558,0.34161,0.519558,2.4563967004884018,0.4290395612872932,0.3409807355516633,0.1265872920113006,0.3333255771378428,0.34161,0.519558,6.047972014173861,unweighted_total_prob,0.3333255771378428,216.0,1295.0,331.0,485.0,-0.20697785899999993,0.0008181509999999337,-13.475180664826137
alcuronium,Alcuronium,1.4319184049963931,3.257813411764796,1.4319184049963931,100,0.345421,0.518184,0.345421,0.518184,1.4319184049963931,0.4354307467842827,0.2607705779334503,0.2787488648456506,0.3342303028562233,0.345421,0.518184,3.257813411764796,unweighted_total_prob,0.3342303028562233,1115.0,1319.0,120.0,494.0,-0.20316685899999998,-0.0005558490000000527,-16.265339267235202
