drug_key,drug,ae_score_x,total_prob,total_weighted_prob,n_ae,safety_drug,P_drug_gt_placebo,safety_score,efficacy_score,ae_score_y,safety_norm,efficacy_norm,ae_inverse_norm,composite_score,safety_used,efficacy_used,ae_used,ae_units,composite_used,avoid_rank_ae,avoid_rank_safety,avoid_rank_efficacy,avoid_rank_composite,delta_safety_vs_real,delta_efficacy_vs_real,delta_ae_vs_real,flag_primary_composite_worst
streptozocin,Streptozocin,2.593154832022263,5.723952632397408,2.593154832022263,100,0.334898,0.092086,0.334898,0.092086,2.593154832022263,0.2282781544285337,0.1328544003168752,0.2923660678944007,0.2029262354770437,0.334898,0.092086,5.723952632397408,unweighted_total_prob,0.2029262354770437,1298.0,94.0,113.0,26.0,-0.2734082887191773,-0.3869846634521484,-5.07804946601391,True
nicorandil,Nicorandil,3.4074793544132245,6.8892996497452215,3.4074793544132245,100,0.314736,0.144032,0.314736,0.144032,3.4074793544132245,0.189178444544425,0.2158201222141655,0.2050857705681776,0.2030165808170717,0.314736,0.144032,6.8892996497452215,unweighted_total_prob,0.2030165808170717,1085.0,51.0,243.0,27.0,-0.29357028871917723,-0.3350386634521484,-3.9127024486660966,True
osimertinib,Osimertinib,7.57883329503238,19.0924669355154,7.57883329503238,100,0.443101,0.03686,0.443101,0.03686,7.57883329503238,0.4381137812805437,0.044650015811817,0.0521102853681029,0.2035275759105649,0.443101,0.03686,19.0924669355154,unweighted_total_prob,0.2035275759105649,52.0,684.0,35.0,28.0,-0.16520528871917722,-0.4422106634521484,8.290464837104082,True
deferiprone,Deferiprone,7.570576817542313,17.082555949687954,7.570576817542313,100,0.402647,0.086288,0.402647,0.086288,7.570576817542313,0.3596622554571264,0.1235941058657049,0.052246569051158,0.2037518583393642,0.402647,0.086288,17.082555949687954,unweighted_total_prob,0.2037518583393642,89.0,374.0,108.0,29.0,-0.20565928871917727,-0.3927826634521484,6.280553851276636,True
sirolimus,Sirolimus,6.039714642148463,13.27623691409826,6.039714642148463,100,0.420471,0.059529,0.420471,0.059529,6.039714642148463,0.394227934902338,0.0808558824750764,0.083954732452096,0.206824473441385,0.420471,0.059529,13.27623691409826,unweighted_total_prob,0.206824473441385,262.0,506.0,63.0,30.0,-0.18783528871917726,-0.4195416634521484,2.474234815686941,True
erlotinib,Erlotinib,4.10631992202252,10.75069054216146,4.10631992202252,100,0.319216,0.15955,0.319216,0.15955,4.10631992202252,0.1978664070620724,0.2406047461005504,0.1577845357917195,0.206945368423393,0.319216,0.15955,10.75069054216146,unweighted_total_prob,0.206945368423393,514.0,59.0,280.0,31.0,-0.28909028871917725,-0.31952066345214836,-0.051311556249858725,True
cilostazol,Cilostazol,2.8591744791250657,6.36182720586657,2.8591744791250657,100,0.308679,0.141238,0.308679,0.141238,2.8591744791250657,0.1774322416494717,0.2113576760781583,0.258385941399099,0.2071931553708718,0.308679,0.141238,6.36182720586657,unweighted_total_prob,0.2071931553708718,1180.0,41.0,233.0,32.0,-0.29962728871917726,-0.33783266345214835,-4.440174892544748,True
memantine,Memantine,2.7500384609214943,5.870976889505978,2.7500384609214943,100,0.313191,0.139114,0.313191,0.139114,2.7500384609214943,0.1861822610422452,0.2079653226089817,0.2715311978609016,0.2119652730326711,0.313191,0.139114,5.870976889505978,unweighted_total_prob,0.2119652730326711,1271.0,47.0,226.0,33.0,-0.29511528871917725,-0.33995666345214837,-4.93102520890534,True
resveratrol,Resveratrol,2.1806158510269578,4.957790782675143,2.1806158510269578,100,0.335314,0.084294,0.335314,0.084294,2.1806158510269578,0.2290848938051724,0.1204093823169582,0.3614596587155109,0.2120896421919545,0.335314,0.084294,4.957790782675143,unweighted_total_prob,0.2120896421919545,1440.0,100.0,105.0,34.0,-0.27299228871917725,-0.3947766634521484,-5.8442113157361755,True
trimetazidine,Trimetazidine,3.137985528539864,6.080548174679275,3.137985528539864,100,0.331595,0.135623,0.331595,0.135623,3.137985528539864,0.2218727213491164,0.2023896606688239,0.2289553647655809,0.2154960257602923,0.331595,0.135623,6.080548174679275,unweighted_total_prob,0.2154960257602923,1232.0,87.0,218.0,35.0,-0.2767112887191773,-0.3434476634521484,-4.721453923732043,True
tranexamic_acid,Tranexamic_acid,3.244093615794553,6.485374275594945,3.244093615794553,100,0.391726,0.067095,0.391726,0.067095,3.244093615794553,0.3384834075430132,0.0929399438440923,0.2190838327922466,0.2163861071132915,0.391726,0.067095,6.485374275594945,unweighted_total_prob,0.2163861071132915,1158.0,317.0,79.0,36.0,-0.21658028871917723,-0.41197566345214837,-4.316627822816373,True
vardenafil,Vardenafil,4.63105209385976,10.434571836143729,4.63105209385976,100,0.391581,0.100804,0.391581,0.100804,4.63105209385976,0.3382022123275983,0.1467783822115461,0.1316517547857967,0.2203225887728171,0.391581,0.100804,10.434571836143729,unweighted_total_prob,0.2203225887728171,543.0,310.0,132.0,37.0,-0.21672528871917723,-0.3782666634521484,-0.36743026226758957,True
afatinib,Afatinib,5.404279693029819,13.98989281058311,5.404279693029819,100,0.44265,0.048149,0.44265,0.048149,5.404279693029819,0.4372391671967358,0.0626802786712962,0.102392029192938,0.2204461841858004,0.44265,0.048149,13.98989281058311,unweighted_total_prob,0.2204461841858004,213.0,679.0,52.0,38.0,-0.16565628871917726,-0.4309216634521484,3.187890712171791,True
axitinib,Axitinib,9.544516729190944,24.26179520785808,9.544516729190944,100,0.478217,0.029506,0.478217,0.029506,9.544516729190944,0.5062134446219961,0.0329045509284251,0.0263744858165649,0.2209220953834815,0.478217,0.029506,24.26179520785808,unweighted_total_prob,0.2209220953834815,15.0,1042.0,24.0,39.0,-0.13008928871917724,-0.4495646634521484,13.45979310944676,True
miltefosine,Miltefosine,3.963644704595206,8.983997464179987,3.963644704595206,100,0.375413,0.110812,0.375413,0.110812,3.963644704595206,0.3068479761701599,0.1627626917781746,0.1660865109280199,0.2210615693649378,0.375413,0.110812,8.983997464179987,unweighted_total_prob,0.2210615693649378,728.0,230.0,157.0,40.0,-0.23289328871917725,-0.3682586634521484,-1.8180046342313307,True
sorafenib,Sorafenib,6.993555372580884,17.144604355096813,6.993555372580884,100,0.442734,0.061646,0.442734,0.061646,6.993555372580884,0.4374020664939417,0.0842370558716144,0.0625681292805071,0.2211692748023239,0.442734,0.061646,17.144604355096813,unweighted_total_prob,0.2211692748023239,84.0,681.0,70.0,41.0,-0.16557228871917723,-0.4174246634521484,6.342602256685495,True
