drug_key,drug,ae_score_x,total_prob,total_weighted_prob,n_ae,safety_drug,P_drug_gt_placebo,safety_score,efficacy_score,ae_score_y,safety_norm,efficacy_norm,ae_inverse_norm,composite_score,safety_used,efficacy_used,ae_used,ae_units,composite_used,avoid_rank_ae,avoid_rank_safety,avoid_rank_efficacy,avoid_rank_composite,delta_safety_vs_real,delta_efficacy_vs_real,delta_ae_vs_real,flag_ae_extreme,flag_safety_extreme,flag_efficacy_extreme,n_extremes
everolimus,Everolimus,9.316675231046974,21.02508463710546,9.316675231046974,100,0.505972,0.022769,0.505972,0.022769,9.316675231046974,0.5600380874071087,0.0221445295904579,0.0288010864852415,0.238633264096075,0.505972,0.022769,21.02508463710546,unweighted_total_prob,0.238633264096075,33.0,1295.0,9.0,72.0,-0.10233428871917727,-0.4563016634521484,10.223082538694143,True,False,True,2
enasidenib,Enasidenib,9.159420523792503,21.023148283362385,9.159420523792503,100,0.562556,0.095145,0.562556,0.095145,9.159420523792503,0.6697701568487519,0.1377400920599124,0.0305463261895239,0.3291133648013705,0.562556,0.095145,21.023148283362385,unweighted_total_prob,0.3291133648013705,34.0,1537.0,121.0,387.0,-0.0457502887191773,-0.3839256634521484,10.221146184951067,True,False,True,2
pexidartinib,Pexidartinib,8.754752607084809,20.98699241131544,8.754752607084809,100,0.57804,0.088592,0.57804,0.088592,8.754752607084809,0.6997979273003708,0.1272739469170151,0.0353256590927679,0.337893881505508,0.57804,0.088592,20.98699241131544,unweighted_total_prob,0.337893881505508,35.0,1563.0,111.0,440.0,-0.030266288719177248,-0.3904786634521484,10.184990312904123,True,False,True,2
ribociclib,Ribociclib,8.938885154947638,20.77517066895961,8.938885154947638,100,0.651681,0.018945,0.651681,0.018945,8.938885154947638,0.842608250461548,0.0160370156233529,0.0330973075167322,0.3500775679373068,0.651681,0.018945,20.77517066895961,unweighted_total_prob,0.3500775679373068,36.0,1617.0,7.0,513.0,0.04337471128082271,-0.4601256634521484,9.973168570548292,True,False,True,2
quizartinib,Quizartinib,8.867709313519297,20.693336039781567,8.867709313519297,100,0.498926,0.055797,0.498926,0.055797,8.867709313519297,0.5463739392152909,0.0748953066055063,0.0339476976049827,0.2552972378493154,0.498926,0.055797,20.693336039781567,unweighted_total_prob,0.2552972378493154,37.0,1255.0,59.0,104.0,-0.10938028871917727,-0.4232736634521484,9.891333941370249,True,False,True,2
niraparib,Niraparib,8.612972524017094,20.503463901579376,8.612972524017094,100,0.527698,0.025824,0.527698,0.025824,8.612972524017094,0.6021708270630033,0.0270238327205588,0.0371063915391933,0.2590991422212635,0.527698,0.025824,20.503463901579376,unweighted_total_prob,0.2590991422212635,38.0,1424.0,15.0,115.0,-0.08060828871917725,-0.45324666345214837,9.701461803168058,True,False,True,2
pacritinib,Pacritinib,8.263823118060825,20.45106293261051,8.263823118060825,100,0.480804,0.145426,0.480804,0.145426,8.263823118060825,0.511230355120468,0.2180465538224668,0.0417521606107378,0.3000611956993215,0.480804,0.145426,20.45106293261051,unweighted_total_prob,0.3000611956993215,39.0,1070.0,246.0,232.0,-0.12750228871917724,-0.3336446634521484,9.64906083419919,True,False,True,2
venetoclax,Venetoclax,8.850453430972992,20.289480395615097,8.850453430972992,100,0.590634,0.030115,0.590634,0.030115,8.850453430972992,0.7242211862171681,0.0338772172479772,0.0341559263069939,0.3100705466474569,0.590634,0.030115,20.289480395615097,unweighted_total_prob,0.3100705466474569,40.0,1574.0,27.0,279.0,-0.017672288719177254,-0.4489556634521484,9.48747829720378,True,False,True,2
temsirolimus,Temsirolimus,8.70700207967311,20.163384333252903,8.70700207967311,100,0.425118,0.02407,0.425118,0.02407,8.70700207967311,0.4032397567370495,0.0242224259479903,0.0359189204102787,0.1781686571560717,0.425118,0.02407,20.163384333252903,unweighted_total_prob,0.1781686571560717,41.0,548.0,13.0,9.0,-0.18318828871917725,-0.4550006634521484,9.361382234841585,True,False,True,2
fedratinib,Fedratinib,8.478807384148238,20.119426213204857,8.478807384148238,100,0.546315,0.158327,0.546315,0.158327,8.478807384148238,0.6382743534449323,0.2386514276952759,0.0388463234054303,0.3585395771371694,0.546315,0.158327,20.119426213204857,unweighted_total_prob,0.3585395771371694,42.0,1496.0,275.0,579.0,-0.06199128871917725,-0.3207436634521484,9.317424114793539,True,False,True,2
