drug_key,drug,ae_score_x,total_prob,total_weighted_prob,n_ae,safety_drug,P_drug_gt_placebo,safety_score,efficacy_score,ae_score_y,safety_norm,efficacy_norm,ae_inverse_norm,composite_score,safety_used,efficacy_used,ae_used,ae_units,composite_used,avoid_rank_ae,avoid_rank_safety,avoid_rank_efficacy,avoid_rank_composite,delta_safety_vs_real,delta_efficacy_vs_real,delta_ae_vs_real,flag_primary_composite_worst
sitagliptin,Sitagliptin,1.2007351915584856,3.0451882099732708,1.2007351915584856,100.0,0.195366,0.517895,0.195366,0.517895,1.2007351915584856,0.1837830585788794,0.243899591360188,0.3489929545520227,0.2408716508860315,0.195366,0.517895,3.0451882099732708,unweighted_total_prob,0.2408716508860315,1218.0,187.0,87.0,30.0,-0.3532218589999999,-0.0008448490000000364,-2.57602895202673,True
chlorothiazide,Chlorothiazide,1.5173019326990451,3.4696205621585205,1.5173019326990451,100.0,0.220435,0.517963,0.220435,0.517963,1.5173019326990451,0.2258246826208724,0.2478692352597768,0.2582182093687767,0.241121209026015,0.220435,0.517963,3.4696205621585205,unweighted_total_prob,0.241121209026015,1024.0,334.0,96.0,31.0,-0.32815285899999996,-0.0007768490000000794,-2.15159659984148,True
lincomycin,Lincomycin,1.8792001866735497,3.980602094903584,1.8792001866735497,100.0,0.195167,0.519276,0.195167,0.519276,1.8792001866735497,0.1834493283469453,0.3245183887915929,0.1919110484148313,0.2415692965383815,0.195167,0.519276,3.980602094903584,unweighted_total_prob,0.2415692965383815,804.0,185.0,278.0,32.0,-0.353420859,0.0005361509999999292,-1.6406150670964168,True
flibanserin,Flibanserin,1.9050016468856463,4.661985255777831,1.9050016468856463,100.0,0.212701,0.518837,0.212701,0.518837,1.9050016468856463,0.2128544835566587,0.2988908347927624,0.1881457891458262,0.2423272851689337,0.212701,0.518837,4.661985255777831,unweighted_total_prob,0.2423272851689337,535.0,284.0,194.0,33.0,-0.3358868589999999,9.715099999996202e-05,-0.9592319062221693,True
delamanid,Delamanid,1.5842691759113203,4.030426185578103,1.5842691759113203,100.0,0.187033,0.519131,0.187033,0.519131,1.5842691759113203,0.1698083147461805,0.3160537069468789,0.2436642740356322,0.2430776634843502,0.187033,0.519131,4.030426185578103,unweighted_total_prob,0.2430776634843502,773.0,153.0,244.0,34.0,-0.36155485899999995,0.0003911509999999785,-1.5907909764218973,True
meclofenamic_acid,Meclofenamic_acid,,,,,0.231493,0.518464,0.231493,0.518464,1.9790104218292963,0.244369350483825,0.2771161704611828,0.1778902432574897,0.2441722570295011,0.231493,0.518464,,unweighted_total_prob,0.2441722570295011,,401.0,144.0,35.0,-0.31709485899999995,-0.0002758489999999947,,True
nabumetone,Nabumetone,1.127191416709682,2.749891134910281,1.127191416709682,100.0,0.199745,0.517672,0.199745,0.517672,1.127191416709682,0.1911268007177715,0.2308814944541767,0.3773799879287893,0.2442793156545372,0.199745,0.517672,2.749891134910281,unweighted_total_prob,0.2442793156545372,1352.0,215.0,72.0,36.0,-0.34884285899999995,-0.0010678490000000096,-2.8713260270897196,True
idoxuridine,Idoxuridine,1.6520358731737343,3.7116099791601256,1.6520358731737343,100.0,0.316254,0.515601,0.316254,0.515601,1.6520358731737343,0.3865166278153247,0.1099824868651488,0.2301377291711419,0.2446271917064178,0.316254,0.515601,3.7116099791601256,unweighted_total_prob,0.2446271917064178,908.0,1112.0,7.0,37.0,-0.23233385899999998,-0.0031388490000000546,-1.909607182839875,True
tezacaftor,Tezacaftor,2.982149825897066,7.669272869825359,2.982149825897066,100.0,0.236953,0.519092,0.236953,0.519092,2.982149825897066,0.2535259689077462,0.3137769994162303,0.0890923313448103,0.2447396535985527,0.236953,0.519092,7.669272869825359,unweighted_total_prob,0.2447396535985527,91.0,431.0,235.0,38.0,-0.311634859,0.00035215099999996724,2.048055707825358,True
benziodarone,Benziodarone,1.6053564281202837,3.999004499986763,1.6053564281202837,100.0,0.269239,0.516923,0.269239,0.516923,1.6053564281202837,0.3076707642254608,0.1871570344425012,0.2393327717104758,0.24579767380928,0.269239,0.516923,3.999004499986763,unweighted_total_prob,0.24579767380928,789.0,685.0,33.0,39.0,-0.27934885899999995,-0.0018168490000000093,-1.6222126620132378,True
hydroxocobalamin,Hydroxocobalamin,1.1471134434686954,2.4187335306778506,1.1471134434686954,100.0,0.175723,0.518501,0.175723,0.518501,1.1471134434686954,0.1508410337252008,0.2792761237594872,0.3693308664895284,0.2459130362917809,0.175723,0.518501,2.4187335306778506,unweighted_total_prob,0.2459130362917809,1465.0,108.0,149.0,40.0,-0.372864859,-0.00023884900000004095,-3.20248363132215,True
cinchocaine,Cinchocaine,1.4753148934571052,3.532235221937294,1.4753148934571052,100.0,0.283365,0.516281,0.283365,0.516281,1.4753148934571052,0.3313605795837596,0.1496789258610632,0.2680171136795585,0.2460192249138408,0.283365,0.516281,3.532235221937294,unweighted_total_prob,0.2460192249138408,994.0,822.0,19.0,41.0,-0.265222859,-0.0024588490000000407,-2.0889819400627068,True
